decision_id,judge_id,step,decision,time_taken,comment
512,33,evaluate_cj,Difficult,0,"Many times there were no clearly better summaries: it was a matter of just picking the mistakes I disliked the least. I get that the summaries were written by students, but many times I thought they were not trying at all.
In the other survey I had to seriously think about the better proof among the two presented since they explained different things well, or adopted different approaches with different benefits. That was very stimulating."
513,33,ccj1,"6,9 -> 6,9",1036,The other summary does not even state what we want to prove. I think it assumes that the claim is known already to the reader.
514,33,ccj2,"9,8 -> 8,9",51788,""
515,33,ccj3,"8,5 -> 5,8",16918,""
516,33,ccj4,"5,7 -> 7,5",23555,""
517,33,ccj5,"7,19 -> 7,19",26814,"Again, the other summary does not convey any sense of the proof or what we want to do."
518,33,ccj6,"19,9 -> 9,19",2235,""
519,33,ccj7,"9,15 -> 9,15",6247,""
520,33,ccj8,"15,13 -> 13,15",12426,""
521,33,ccj9,"13,2 -> 2,13",6075,""
522,33,ccj10,"2,14 -> 2,14",5924,""
523,33,ccj11,"14,20 -> 14,20",2656,""
524,33,ccj12,"20,15 -> 15,20",1654,""
525,33,ccj13,"15,7 -> 7,15",7466,""
526,33,ccj14,"7,6 -> 7,6",6982,""
527,33,ccj15,"6,17 -> 17,6",6976,""
528,33,evaluate_ccj,Difficult,0,""
529,33,evaluation,Method 1: Comparative judgement,0,Did not find a significant difference between the two methods since the summary did not present an difference in quality.
530,34,ccj1,"4,8 -> 8,4",46702,""
531,34,ccj2,"8,9 -> 8,9",40614,""
532,34,ccj3,"9,3 -> 3,9",36428,""
533,34,ccj4,"3,2 -> 3,2",38360,""
534,34,ccj5,"2,4 -> 2,4",7279,""
535,34,ccj6,"4,16 -> 4,16",23038,""
536,34,ccj7,"16,6 -> 6,16",8494,""
537,34,ccj8,"6,15 -> 6,15",13055,""
538,34,ccj9,"15,9 -> 15,9",39524,""
539,34,ccj10,"9,7 -> 7,9",9583,""
540,34,ccj11,"7,16 -> 7,16",4996,""
541,34,ccj12,"16,19 -> 16,19",6044,""
542,34,ccj13,"19,9 -> 9,19",3697,""
543,34,ccj14,"9,18 -> 9,18",12245,""
544,34,ccj15,"18,6 -> 6,18",5291,""
545,34,evaluate_ccj,Easy,0,""
546,34,cj1,"19,11 -> 11,19",16357,""
547,34,cj2,"3,14 -> 3,14",8535,""
548,34,cj3,"9,7 -> 7,9",11603,""
549,34,cj4,"19,2 -> 2,19",3462,""
550,34,cj5,"16,9 -> 16,9",13902,""
551,34,cj6,"1,2 -> 2,1",20099,""
552,34,cj7,"14,16 -> 16,14",6773,""
553,34,cj8,"4,12 -> 4,12",10945,""
554,34,cj9,"1,4 -> 1,4",15749,""
555,34,cj10,"9,11 -> 9,11",15211,""
556,34,cj11,"7,4 -> 7,4",11651,""
557,34,cj12,"8,6 -> 6,8",15126,""
558,34,cj13,"10,17 -> 10,17",27636,""
559,34,cj14,"18,12 -> 12,18",9709,""
560,34,cj15,"15,20 -> 15,20",2730,""
561,34,evaluate_cj,Easy,0,""
562,34,evaluation,Method 2: Comparative judgement,0,""
